SourceContentID,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
-4110354420726924665,1.220948775534529e+18,-2.489051066377567e+18,8.926283897590638e+18,7.845570490247451e+18,6.200172800690402e+18
-7292285110016212249,8.298709454703869e+18,4.877833951599819e+18,8.596997246990923e+18,-7.586203274767894e+18,4.563606877148407e+18
-6151852268067518688,1.2669581852395822e+18,-6.929723062299048e+17,-2.2735171849100065e+18,8.605423472891112e+18,6.419848550542384e+18
2448026894306402386,4.4630255283743524e+18,-4.374331682165864e+18,-3.528088210002755e+18,-6.725796505137574e+18,-6.249065792190816e+18
-2826566343807132236,-2.0519364862929485e+17,2.72774399215721e+18,5.929055844564383e+18,-1.8682971955904312e+18,-6.929723062299048e+17
-2148899391355011268,4.4630255283743524e+18,2.916072977192006e+18,5.410603488837817e+18,1.2669581852395822e+18,8.631616594020837e+18
4119190424078847945,1.2669581852395822e+18,-1.8682971955904312e+18,2.9000299838992835e+18,-3.810375613673462e+18,2.255603060224027e+18
-7926018713416777892,-4.110354420726925e+18,1.4856526480521272e+18,5.274322067107287e+18,-6.713697716910929e+18,3.0678752543495977e+18
3353902017498793780,2.6173304912318546e+18,1.2337878715139995e+17,1.0124568483890514e+18,-5.082274522455748e+18,-5.843518165523212e+18
-9157338616628196758,5.199666313044493e+18,-2.0817605498633098e+18,-4.864344772765974e+18,-1.249436522568156e+18,-8.858741052589364e+18
1805789466376069146,1.805789466376069e+18,5.199666313044493e+18,5.062670850994684e+18,5.619251370090681e+18,-8.474949799580074e+17
-2081760549863309770,6.8734541577364e+18,2.639926854188906e+18,7.963184191158282e+18,5.934557073194045e+18,-3.5377773205237576e+18
-5170198873410718233,-8.239286201029609e+18,9178250635927684.0,-7.033990154815319e+18,-3.7390003232881884e+18,4.774970687540378e+18
-3367778232969996503,8.736111317960966e+18,7.66414060418104e+18,-5.973686110278906e+18,-3.5377773205237576e+18,4.3554640442084383e+18
4988225165850707692,6.15703764687801e+18,-1.6690987077767255e+18,-5.636731245639686e+18,-7.565625515044904e+18,1.1203234980914675e+18
-5917314377186856799,-5.917314377186857e+18,-5.636731245639686e+18,-1.6690987077767255e+18,-7.565625515044904e+18,2.704436934348861e+17
6157037646878010131,3.6117015104901484e+18,-6.035458164887182e+18,-4.110354420726925e+18,3.353902017498794e+18,5.274322067107287e+18
6023609667389715259,-7.358932766266902e+18,8.55067051035731e+18,-4.374331682165864e+18,8.424505741986577e+18,-6.725796505137574e+18
7905485530310717815,1.2669581852395822e+18,-2.2735171849100065e+18,-3.528088210002755e+18,-1.8682971955904312e+18,-6.725796505137574e+18
8194079557551008273,5.847540986736721e+18,-2.1678397784743252e+18,1.2337878715139995e+17,-4.38637194537498e+18,-3.2169185582136416e+17
-1672166631728511207,-7.358932766266902e+18,8.55067051035731e+18,3.0755642416453504e+18,4.4630255283743524e+18,-3.528088210002755e+18
-4374331682165863764,-4.615179238096675e+18,6.162786478796755e+18,9.21326065027203e+18,8.1693515629242e+18,-8.9681017716042e+18
5714314286511882372,-7.009536306337651e+18,5.779887740609126e+18,8.869575677747286e+18,6.34164753315002e+18,-8.254222281357012e+18
-8141818108252244664,8.545647269051113e+18,3.750772607644674e+18,-4.833307637594287e+18,-8.520302351158934e+18,2.8415450355707935e+18
-8939172344092554931,8.968837261991914e+18,4.785499183287168e+18,8.302949268716968e+18,3.293246847422796e+18,-3.951274083288935e+18
-1591454024897803197,5.842191581670322e+18,6.097677219931837e+18,-8.187220755213889e+18,1.9810461867433812e+18,-4.1262881593653545e+18
-6874540813378776198,4.788854083489561e+18,1.6497520439998198e+18,-7.992053163122499e+18,2.9301918038818217e+18,-5.602127731550819e+18
-3173020603774823976,-6.051144382063849e+17,3.0353296117954345e+18,-2.855910583928922e+18,5.842191581670322e+18,-5.434287697440337e+18
-9107331682787867601,2.3128169025421152e+17,-5.255285107284515e+18,-5.082274522455748e+18,-8.9681017716042e+18,-6.761163882540292e+18
-1021685224930603833,1.2669581852395822e+18,-1.8682971955904312e+18,-5.464698687596686e+18,-3.810375613673462e+18,2.255603060224027e+18
1392715980907132808,-1.8682971955904312e+18,1.2669581852395822e+18,-3.810375613673462e+18,2.255603060224027e+18,-2.2735171849100065e+18
-6142462826726347616,1.2669581852395822e+18,-1.8682971955904312e+18,2.9000299838992835e+18,-3.810375613673462e+18,5.274322067107287e+18
2255603060224026824,1.2669581852395822e+18,-1.8682971955904312e+18,-6.941293448141178e+18,6.419848550542384e+18,2.9000299838992835e+18
3037840448416371691,-4.218676349553328e+18,-5.829979886567267e+18,-8.942026248671583e+18,-5.179258585851879e+18,2.7319152389800996e+18
7767869406844505704,-6.792965795755858e+18,-4.866861846926555e+17,1.8058493360996416e+18,7.508152369854945e+18,8.297658253225036e+18
-7202774608580336956,7.641160211561468e+17,1.990052153136096e+18,7.85102256481885e+18,-9.671974040844134e+16,2.9274761525225124e+18
5822211783543822544,-6.308850935767966e+18,-6.249065792190816e+18,-6.728844082024524e+18,1.5926003912339581e+18,-7.454907763335725e+18
6152652267138213180,5.817939718364925e+18,2.6288168490775895e+18,-7.766518409111703e+18,-1.4809134475902684e+18,5.967886403500659e+18
9032993320407723266,-5.679515279292214e+18,-4.212628299711862e+16,1.0612380725868054e+18,2.229625391864202e+18,-4.0705991883328855e+18
